ID,Marriage_Type,Age_at_Marriage,Gender,Education_Level,Caste_Match,Religion,Parental_Approval,Urban_Rural,Dowry_Exchanged,Marital_Satisfaction,Divorce_Status,Children_Count,Income_Level,Years_Since_Marriage,Spouse_Working,Inter-Caste,Inter-Religion,Marriage_Type_Encoded,Gender_Encoded,Education_Level_Encoded,Caste_Match_Encoded,Religion_Encoded,Parental_Approval_Encoded,Dowry_Exchanged_Encoded,Marital_Satisfaction_Encoded,Divorce_Status_Encoded,Income_Level_Encoded,Spouse_Working_Encoded,Inter-Caste_Encoded,Inter-Religion_Encoded
1,Love,23,Male,Graduate,Different,Hindu,No,Urban,No,Medium,Yes,5,Middle,34,No,No,No,1,1,0,0,1,0,0,2,1,2,0,0,0
2,Love,28,Female,School,Same,Hindu,Yes,Rural,Yes,Low,No,3,Middle,42,No,No,Yes,1,0,3,1,1,2,2,1,0,2,0,0,1
3,Arranged,39,Male,Postgraduate,Same,Muslim,Yes,Rural,No,Medium,No,0,High,25,No,No,No,0,1,2,1,2,2,0,2,0,0,0,0,0
4,Arranged,26,Female,School,Different,Hindu,Yes,Urban,Yes,Low,No,0,High,12,No,Yes,No,0,0,3,0,1,2,2,1,0,0,0,1,0
5,Love,32,Female,Graduate,Same,Hindu,Partial,Rural,Yes,Medium,No,1,Middle,41,No,No,Yes,1,0,0,1,1,1,2,2,0,2,0,0,1
6,Love,37,Female,School,Different,Hindu,Yes,Urban,Yes,High,No,4,Low,3,No,No,No,1,0,3,0,1,2,2,0,0,1,0,0,0
7,Arranged,24,Male,Graduate,Different,Hindu,Yes,Rural,No,Medium,No,2,Middle,15,No,No,No,0,1,0,0,1,2,0,2,0,2,0,0,0
8,Arranged,18,Male,Postgraduate,Same,Sikh,Yes,Rural,Yes,Medium,No,4,Middle,21,No,Yes,No,0,1,2,1,4,2,2,2,0,2,0,1,0
9,Arranged,22,Female,Postgraduate,Same,Christian,Yes,Rural,Not Disclosed,High,No,4,Low,37,No,No,Yes,0,0,2,1,0,2,1,0,0,1,0,0,1
10,Arranged,24,Male,School,Same,Hindu,No,Urban,No,Medium,No,5,High,17,No,Yes,No,0,1,3,1,1,0,0,2,0,0,0,1,0
11,Arranged,19,Male,School,Same,Hindu,Yes,Urban,No,Medium,Yes,3,Middle,18,No,Yes,No,0,1,3,1,1,2,0,2,1,2,0,1,0
12,Love,31,Female,School,Same,Hindu,No,Rural,Yes,Medium,No,2,Middle,39,Yes,Yes,No,1,0,3,1,1,0,2,2,0,2,1,1,0
13,Arranged,22,Female,Graduate,Same,Hindu,Yes,Urban,No,Medium,No,3,Middle,24,Yes,Yes,No,0,0,0,1,1,2,0,2,0,2,1,1,0
14,Arranged,34,Female,School,Different,Hindu,Partial,Rural,Not Disclosed,Medium,No,5,Low,1,Yes,No,No,0,0,3,0,1,1,1,2,0,1,1,0,0
15,Arranged,39,Male,PhD,Same,Others,Yes,Urban,No,Medium,No,1,High,40,Yes,No,No,0,1,1,1,3,2,0,2,0,0,1,0,0
16,Love,19,Female,PhD,Different,Christian,Yes,Rural,Not Disclosed,Medium,No,2,Middle,32,Yes,No,No,1,0,1,0,0,2,1,2,0,2,1,0,0
17,Arranged,20,Female,Postgraduate,Same,Hindu,Yes,Urban,Yes,Medium,No,0,Low,25,Yes,Yes,No,0,0,2,1,1,2,2,2,0,1,1,1,0
18,Love,27,Male,Graduate,Same,Hindu,Yes,Rural,Not Disclosed,Medium,No,5,Middle,40,No,No,No,1,1,0,1,1,2,1,2,0,2,0,0,0
